Person ID,Exists,Job ID,Candidate_SF_Id,Job_SF_Id,Job_Submission_Exists,Error
489339,Not Exist,179306,,,N/A (candidate not in SF),
489383,Exist,179306,a00N300001Eu3nhIAB,a02N300000qJPOAIA4,Not Exist,
489407,Exist,182162,,,Unresolved: Job__c match count = 7 (expected 1),
489616,Exist,182162,,,Unresolved: Job__c match count = 7 (expected 1),
489644,Not Exist,179306,,,N/A (candidate not in SF),
489649,Exist,179306,a00N300001F2xu6IAB,a02N300000qJPOAIA4,Not Exist,
489665,Exist,179306,a00N300001Gk0xJIAR,a02N300000qJPOAIA4,Not Exist,
489783,Exist,179306,a00N300001F2xuBIAR,a02N300000qJPOAIA4,Not Exist,
489912,Exist,179306,a00N300001Eu3o6IAB,a02N300000qJPOAIA4,Exist,
489994,Not Exist,179306,,,N/A (candidate not in SF),
490013,Exist,182162,,,Unresolved: Job__c match count = 7 (expected 1),
490013,Exist,179306,a00N300001Eu3oBIAR,a02N300000qJPOAIA4,Not Exist,
490073,Exist,182162,,,Unresolved: Job__c match count = 7 (expected 1),
490492,Not Exist,179306,,,N/A (candidate not in SF),
490492,Not Exist,182162,,,N/A (candidate not in SF),
490596,Not Exist,179306,,,N/A (candidate not in SF),
490724,Exist,179306,a00N300001F2xuQIAR,a02N300000qJPOAIA4,Not Exist,
490763,Not Exist,182162,,,N/A (candidate not in SF),
490837,Exist,179306,a00N300001F2xuUIAR,a02N300000qJPOAIA4,Not Exist,
490948,Not Exist,179306,,,N/A (candidate not in SF),
490976,Exist,182162,,,Unresolved: Job__c match count = 7 (expected 1),
490988,Exist,179306,a00N300001F2xuWIAR,a02N300000qJPOAIA4,Exist,
491131,Exist,179306,a00N300001F2xuaIAB,a02N300000qJPOAIA4,Not Exist,
491168,Exist,179306,a00N300001Eu3sJIAR,a02N300000qJPOAIA4,Exist,
491198,Not Exist,182162,,,N/A (candidate not in SF),
491421,Not Exist,179306,,,N/A (candidate not in SF),
491438,Not Exist,182162,,,N/A (candidate not in SF),
491438,Not Exist,179306,,,N/A (candidate not in SF),
491457,Exist,179306,a00N300001F2xuhIAB,a02N300000qJPOAIA4,Exist,
491488,Not Exist,182162,,,N/A (candidate not in SF),
491587,Exist,179303,a00N300001GNRCJIA5,a02N300000qJg7FIAS,Not Exist,
491587,Exist,179306,a00N300001GNRCJIA5,a02N300000qJPOAIA4,Not Exist,
491596,Exist,179306,a00N300001Eu3seIAB,a02N300000qJPOAIA4,Not Exist,
491649,Exist,179306,a00N300001F2xulIAB,a02N300000qJPOAIA4,Exist,
491760,Not Exist,179306,,,N/A (candidate not in SF),
491865,Not Exist,179306,,,N/A (candidate not in SF),
491913,Not Exist,179303,,,N/A (candidate not in SF),
491913,Not Exist,179306,,,N/A (candidate not in SF),
491938,Not Exist,181707,,,N/A (candidate not in SF),
491938,Not Exist,181706,,,N/A (candidate not in SF),
491972,Not Exist,179306,,,N/A (candidate not in SF),
491992,Not Exist,179306,,,N/A (candidate not in SF),
492261,Not Exist,182162,,,N/A (candidate not in SF),
492261,Not Exist,179306,,,N/A (candidate not in SF),
492291,Not Exist,179306,,,N/A (candidate not in SF),
493339,Not Exist,179306,,,N/A (candidate not in SF),
493472,Not Exist,179306,,,N/A (candidate not in SF),
493720,Exist,179306,a00N300001F2xvPIAR,a02N300000qJPOAIA4,Not Exist,
494015,Not Exist,179303,,,N/A (candidate not in SF),
494015,Not Exist,179306,,,N/A (candidate not in SF),
498002,Exist,179306,a00N300001F2y3YIAR,a02N300000qJPOAIA4,Not Exist,
498002,Exist,182162,,,Unresolved: Job__c match count = 7 (expected 1),
499969,Not Exist,179306,,,N/A (candidate not in SF),
499977,Exist,179306,a00N300001Eu4BUIAZ,a02N300000qJPOAIA4,Not Exist,
500014,Not Exist,179306,,,N/A (candidate not in SF),
500039,Not Exist,182162,,,N/A (candidate not in SF),
500079,Exist,179306,a00N300001F2y5vIAB,a02N300000qJPOAIA4,Not Exist,
500084,Not Exist,182162,,,N/A (candidate not in SF),
500212,Exist,179306,a00N300001Eu4GWIAZ,a02N300000qJPOAIA4,Not Exist,
500218,Not Exist,182162,,,N/A (candidate not in SF),
500220,Not Exist,179306,,,N/A (candidate not in SF),
500255,Exist,182162,,,Unresolved: Job__c match count = 7 (expected 1),
500255,Exist,179306,a00N300001Eu4GZIAZ,a02N300000qJPOAIA4,Not Exist,
