person id,count
503306,36
723332,35
763874,33
482360,31
1235217,30
901196,29
4037192,28
7720776,26
934230,25
609155,25
5616877,24
255713,23
1273519,23
1224687,22
2850498,22
185905,21
1215971,21
1395032,20
836404,19
6217241,18
1456459,18
249949,18
132017,17
1279892,17
1145975,17
934183,17
2652057,17
1315911,16
5645149,16
3107196,16
389361,15
1650895,15
4980849,15
3071014,15
6332991,15
740152,15
4117120,15
436725,15
920994,14
1857862,14
3202963,14
1061339,14
2118814,14
2088488,14
1981771,14
3212652,14
4071938,14
1061851,14
2796816,13
3203021,13
5509428,13
1277001,13
544265,13
1767176,13
1646212,13
2828679,13
260013,13
778279,13
77071,13
1110563,13
1904969,12
2652954,12
6575559,12
1060786,12
1162333,12
1402956,12
1402957,12
634772,12
764647,12
3307335,12
5030830,12
3140627,12
1532615,12
3051182,11
4877252,11
3233613,11
5865286,11
2503787,11
4776361,11
990830,11
1264327,11
1832166,11
2672417,11
5614445,11
6884532,11
3248847,11
3483534,11
588619,11
2378322,10
1154677,10
405016,10
4760204,10
6207223,10
4167885,10
838814,10
2855135,10
1550800,10
1138622,10
724869,10
934685,10
2849816,10
7425230,10
10315,10
1115637,10
7112733,10
450182,10
1647592,10
6030504,10
3373473,10
5054111,9
3858613,9
6226808,9
1030341,9
3248337,9
3425353,9
2772456,9
7699294,9
7127922,9
1541544,9
1215647,9
5775535,9
4735545,9
2521148,9
1979504,9
1237264,9
6232191,9
6696214,8
7729241,8
613433,8
6459116,8
1979376,8
4671503,8
3910434,8
5966435,8
8115492,8
3897763,8
4087022,8
4800885,8
8106647,8
1144620,8
6829137,8
2056317,8
3047276,8
1857945,8
2078753,8
8115470,8
36410,8
4012560,8
2510840,8
1556725,8
4061950,8
1263282,8
2716909,8
3338236,8
3514905,7
4421062,7
4363592,7
6251941,7
6137178,7
2594717,7
4585459,7
5086495,7
6234519,7
6039379,7
4111277,7
766270,7
2306548,7
3982503,7
992179,7
3520434,7
6638498,7
1851492,7
7012856,7
4677215,7
2736971,7
2882707,7
5377469,7
1343117,7
2882522,7
7364221,7
4576020,7
1032158,7
1556806,7
6354197,6
7001041,6
6386751,6
5857643,6
1716329,6
1216049,6
4209604,6
2255223,6
1295987,6
4841100,6
587904,6
8612487,6
5611417,6
2382376,6
7077318,6
6333430,6
1140302,6
1601876,6
8115480,6
4706843,6
1134912,6
3949040,6
2976697,6
1061876,6
5826528,6
1647523,6
4393097,6
4772245,6
5824214,6
7554872,6
3819901,6
5271419,6
5819950,6
2929409,6
1344939,6
6782277,6
1013644,6
5891097,6
1013098,6
3927549,6
2594709,6
6119178,6
7782644,6
5266755,6
4714506,6
5222456,6
7965707,6
441820,6
4142547,6
6274947,6
7112728,5
2154773,5
6040880,5
6726531,5
1085139,5
5046013,5
3845039,5
2248282,5
5501799,5
6933036,5
5273881,5
7476785,5
2804032,5
4437435,5
8305733,5
6263014,5
2382462,5
5890686,5
5769095,5
2878542,5
3469166,5
5890929,5
2568027,5
1817151,5
5562534,5
723049,5
3131039,5
2640194,5
711650,5
2951020,5
609750,5
4420429,5
62943,5
6261708,5
8419508,5
8325369,5
6809130,5
6782313,5
2295946,5
2591244,5
8617015,5
8115500,5
2045453,5
7295868,5
4582080,5
4448663,5
3152483,5
3837017,5
2094336,5
1238367,5
1417974,5
1248927,5
4688927,5
2618799,5
3910839,5
3469168,5
1156034,5
4883216,5
5907047,5
6891607,5
3170975,5
6222542,5
7980490,5
6331972,5
6611487,5
3404696,5
6443068,5
918141,5
2849595,5
6954999,4
8404034,4
3078193,4
7009143,4
2554058,4
6712556,4
4124054,4
5949302,4
5936721,4
7017856,4
7308071,4
1653897,4
2481690,4
7849973,4
5328578,4
5584535,4
3462748,4
4421106,4
4555777,4
4774727,4
4894973,4
5015195,4
5545368,4
5970497,4
6060804,4
6717020,4
382271,4
5999754,4
7879490,4
5833423,4
4806981,4
5856443,4
1517860,4
3101059,4
8287416,4
2771202,4
5515522,4
3131019,4
6589463,4
6720444,4
4591400,4
7546164,4
4024010,4
7144025,4
6702308,4
6732520,4
7194042,4
8041105,4
6082062,4
2235156,4
7932588,4
7948957,4
3048768,4
8132618,4
6343911,4
7167041,4
8122892,4
1994982,4
5006140,4
1281329,4
5910683,4
1264009,4
5890953,4
4452663,4
3945841,4
5730081,4
5781545,4
6103561,4
1239279,4
5872398,4
4581816,4
6609152,4
6683353,4
5970789,4
3078565,4
3831248,4
5781722,4
5035584,4
7800621,4
3182095,4
1349722,4
5751311,4
1975114,4
3469189,4
3807511,4
2868164,4
5746332,4
7071728,4
